image_id,image_path,source_dataset,source_group,split,width,height,manual_face_labels,baseline_face_labels
lap:0/MAL00001_0002_078836.jpg,raw/lap/anime/0/MAL00001_0002_078836.jpg,lap,MAL00001,train,225,350,1,1
lap:0/MAL00001_0004_022882.jpg,raw/lap/anime/0/MAL00001_0004_022882.jpg,lap,MAL00001,train,303,450,1,1
lap:0/MAL00001_0006_022885.jpg,raw/lap/anime/0/MAL00001_0006_022885.jpg,lap,MAL00001,train,335,450,1,1
lap:0/MAL00001_0007_003791.jpg,raw/lap/anime/0/MAL00001_0007_003791.jpg,lap,MAL00001,train,413,600,1,1
lap:0/MAL00001_0011_053939.jpg,raw/lap/anime/0/MAL00001_0011_053939.jpg,lap,MAL00001,train,323,450,1,1
lap:0/MAL00001_0012_019609.jpg,raw/lap/anime/0/MAL00001_0012_019609.jpg,lap,MAL00001,train,289,450,1,1
lap:0/MAL00001_0012_022883.jpg,raw/lap/anime/0/MAL00001_0012_022883.jpg,lap,MAL00001,train,327,450,1,1
lap:0/MAL00001_0012_081920.jpg,raw/lap/anime/0/MAL00001_0012_081920.jpg,lap,MAL00001,train,300,450,1,1
lap:0/MAL00001_1519_091488.jpg,raw/lap/anime/0/MAL00001_1519_091488.jpg,lap,MAL00001,train,225,321,1,1
lap:0/MAL00001_1623_122582.jpg,raw/lap/anime/0/MAL00001_1623_122582.jpg,lap,MAL00001,train,395,600,1,1
lap:0/MAL00001_1952_121242.jpg,raw/lap/anime/0/MAL00001_1952_121242.jpg,lap,MAL00001,train,421,600,1,1
lap:0/MAL00001_WA00026_001.jpg,raw/lap/anime/0/MAL00001_WA00026_001.jpg,lap,MAL00001,train,400,597,1,1
lap:0/MAL00005_0006_014331.jpg,raw/lap/anime/0/MAL00005_0006_014331.jpg,lap,MAL00005,validation,300,444,1,1
lap:0/MAL00005_0010_074089.jpg,raw/lap/anime/0/MAL00005_0010_074089.jpg,lap,MAL00005,validation,321,450,1,1
lap:0/MAL00005_1018_120197.jpg,raw/lap/anime/0/MAL00005_1018_120197.jpg,lap,MAL00005,validation,421,595,1,1
lap:0/MAL00005_1185_092795.jpg,raw/lap/anime/0/MAL00005_1185_092795.jpg,lap,MAL00005,validation,400,600,1,1
lap:0/MAL00005_WA00025_002.jpg,raw/lap/anime/0/MAL00005_WA00025_002.jpg,lap,MAL00005,validation,400,576,1,1
lap:0/MAL00006_0002_022887.jpg,raw/lap/anime/0/MAL00006_0002_022887.jpg,lap,MAL00006,train,327,450,1,1
lap:0/MAL00006_0002_022888.jpg,raw/lap/anime/0/MAL00006_0002_022888.jpg,lap,MAL00006,train,327,450,1,1
lap:0/MAL00006_0008_019968.jpg,raw/lap/anime/0/MAL00006_0008_019968.jpg,lap,MAL00006,train,313,450,1,1
lap:0/MAL00006_0008_022886.jpg,raw/lap/anime/0/MAL00006_0008_022886.jpg,lap,MAL00006,train,326,450,1,1
lap:0/MAL00006_0008_022889.jpg,raw/lap/anime/0/MAL00006_0008_022889.jpg,lap,MAL00006,train,337,450,1,1
lap:0/MAL00006_0010_020473.jpg,raw/lap/anime/0/MAL00006_0010_020473.jpg,lap,MAL00006,train,319,450,1,1
lap:0/MAL00006_1130_120002.jpg,raw/lap/anime/0/MAL00006_1130_120002.jpg,lap,MAL00006,train,422,600,1,1
lap:0/MAL00006_WA00095_074.jpg,raw/lap/anime/0/MAL00006_WA00095_074.jpg,lap,MAL00006,train,382,600,1,1
lap:0/MAL00007_0003_022901.jpg,raw/lap/anime/0/MAL00007_0003_022901.jpg,lap,MAL00007,train,335,450,1,1
lap:0/MAL00007_0003_022902.jpg,raw/lap/anime/0/MAL00007_0003_022902.jpg,lap,MAL00007,train,338,450,1,1
lap:0/MAL00007_0006_006704.jpg,raw/lap/anime/0/MAL00007_0006_006704.jpg,lap,MAL00007,train,576,586,1,1
lap:0/MAL00007_0011_025527.jpg,raw/lap/anime/0/MAL00007_0011_025527.jpg,lap,MAL00007,train,225,350,1,1
