tep00000,reject,,错误框，主体为画面线条及人物局部，未形成完整人脸
tep00004,reject,,侧脸被裁切，面部主要区域不完整
tep00014,reject,,头发遮挡且面部被截断，仅保留局部五官
tep00068,reject,,画面过浅，五官难以辨认
tep00069,reject,,错误框，混入画面边框，未准确截取完整人脸
tep00090,reject,,图像模糊、对比度低，面部结构难以辨认
tep00154,reject,,仅截取侧脸局部，面部不完整
tep00181,reject,,大面积深色遮挡，面部关键区域缺失
tep00184,reject,,脸部位于裁剪边缘，主要五官未完整保留
tep00231,reject,,错误框，非面部内容占比过高，脸部不完整
tep00239,reject,,裁剪范围偏移，面部五官被截断
tep00292,reject,,侧脸轮廓不完整，五官不足以确认完整人脸
tep00323,reject,,仅保留眼部及周边区域，非完整人脸
tep00341,reject,,仅保留局部眼部和面部轮廓，非完整人脸
tep00344,reject,,仅保留嘴部及部分面部，脸部被裁切
tep00359,reject,,面部被裁切并混入边框，五官不完整
trp00016,reject,,错误框，画面其他内容占比过高，未完整截取人脸
trp00052,reject,,面部被大幅裁切，仅保留局部轮廓
trp00152,reject,,低清晰度且局部遮挡，无法可靠辨认完整人脸
trp00186,reject,,图像过浅，五官难以辨认
trp00187,reject,,仅保留眼部及局部脸侧，面部不完整
trp00261,reject,,错误框，画面框线与局部面部混杂
trp00276,reject,,头发与遮挡区域占比过大，面部不完整
trp00290,reject,,面部局部过曝或线条过浅，五官难以辨认
trp00317,reject,,侧脸仅保留部分轮廓，脸部被裁切
trp00333,reject,,错误框，主要内容非完整面部
trp00397,reject,,人脸区域与其他画面内容混杂，完整面部不可辨认
trp00407,reject,,错误框，画面线条占比过高，无法定位完整人脸
trp00458,reject,,低分辨率且背景干扰严重，面部不清晰
trp00478,reject,,错误框，主要截取非人脸区域
trp00488,reject,,头发遮挡且脸部被裁切，主要五官缺失
trp00496,reject,,错误框，框内人物及背景混杂，脸部不完整
trp00500,reject,,裁剪偏移，面部仅余局部五官
trp00503,reject,,严重遮挡和裁切，面部难以辨认
trp00542,reject,,错误框，非人脸图案占比过大
trp00563,reject,,错误框，框内以画面线条为主，缺少完整脸部
trp00578,reject,,脸部主要五官被遮挡，面部不完整
trp00589,reject,,错误框，画面内容混杂，无法辨认完整脸部
trp00591,reject,,画面线条及背景干扰严重，五官难以辨认
trp00621,reject,,人脸被上缘裁切，五官保留不完整
trp00697,reject,,脸部被裁切且局部模糊，面部结构不完整
trp00707,reject,,侧脸裁切过重，主要五官缺失
trp00722,reject,,仅有下半脸或局部面部轮廓，非完整人脸
trp00778,reject,,头部侧缘被截断，面部信息不足
trp00785,reject,,侧脸被裁切，脸部轮廓不完整
trp00792,reject,,侧脸过度裁切，仅保留部分轮廓
trp00848,reject,,仅保留下半脸，眼部等关键部位缺失
trp00857,reject,,面部模糊且局部遮挡，完整人脸难以辨认
trp00941,reject,,脸部被画面边界裁切，五官不完整
trp00956,reject,,画面过浅，脸部结构难以辨认
trp00958,reject,,脸部侧缘与背景混杂，主要五官不完整
trp00974,reject,,头发遮挡且脸部裁切，面部难以辨认
trp00987,reject,,脸部边界模糊，面部细节不足以确认完整人脸
trp00996,reject,,画面线条与面部局部混杂，缺少完整脸部
trp01031,reject,,头发遮挡，下半脸及面部轮廓不完整
trp01033,reject,,侧脸被截断且线条过浅，面部不完整
trp01043,reject,,裁剪位置偏移，仅保留局部五官
trp01079,reject,,错误框，非人脸图案或画面线条占比过大
trp01091,reject,,脸部遮挡明显，主要五官不完整
trp01095,reject,,面部部分被截断，仅保留局部五官
trp01102,reject,,框内线条与背景干扰严重，未见完整面部
trp01137,reject,,低对比度且裁切过重，脸部难以辨认
trp01151,reject,,错误框，框内面部不完整且背景干扰明显
trp01147,reject,,错误框，主体以非面部图案为主
trp01165,reject,,脸部主要轮廓被截断，无法确认完整人脸
trp01175,reject,,疑似人脸区域被过度裁切，五官结构不足
trp01185,reject,,脸部部分被遮挡，无法准确识别完整五官
trp01188,reject,,面部裁切过重，五官不完整
trp01212,reject,,错误框，框内并非清晰完整的人脸
trp01317,reject,,脸部被裁切且局部遮挡，五官不完整
trp01324,reject,,面部图案过浅，五官难以可靠辨认
trp01349,reject,,裁剪偏移且人物与背景混杂，未形成完整脸部
trp01350,reject,,大面积头发遮挡，脸部不完整
trp01373,reject,,侧脸或面部边缘被截断，五官不完整
trp01379,reject,,错误框，主体为非人脸区域，面部不完整
trp01475,reject,,人脸轮廓被截断，脸部区域不足
trp01525,reject,,框内仅有局部面部及非人脸内容
trp01561,reject,,面部被裁切，五官保留不完整
trp01569,reject,,仅保留脸部轮廓及少量五官，完整面部不清晰
trp01568,reject,,脸部被严重裁切，主要五官缺失
trp01581,reject,,裁剪位置偏移，脸部不完整
trp01601,reject,,错误框，画面线条及局部五官混杂
trp01603,reject,,面部五官不足，脸部难以辨认
trp01615,reject,,侧脸或局部面部被裁切，缺少完整五官
trp01622,reject,,脸部边缘裁切且遮挡明显，五官不完整
trp01637,reject,,面部局部模糊或被遮挡，无法可靠识别完整人脸
trp01654,reject,,严重遮挡或错误框，缺少完整面部
trp01674,reject,,脸部下半部分被裁切，五官不完整
trp01681,reject,,错误框，框内以背景与局部线条为主
trp01685,reject,,仅保留头发及局部面部，五官不完整
trp01712,reject,,面部被边框截断，无法形成完整人脸
trp01728,reject,,错误框，脸部只占小部分且被裁切
trp01738,reject,,侧脸被边界截断，面部不完整
trp01748,reject,,错误框，框内主要是画面碎片，无法辨认完整人脸
trp01761,reject,,脸部被裁切且线条模糊，完整面部不可辨认
vap00012,reject,,侧脸部分截断，脸部轮廓及五官不完整
vap00017,reject,,脸部被边框截断，主要五官不完整
vap00020,reject,,面部被大面积遮挡或截断，完整五官缺失
vap00060,reject,,错误框，仅有局部轮廓，未截取完整脸部
vap00073,reject,,面部仅余模糊局部，无法辨认完整人脸
vap00109,reject,,错误框，主体为背景及画面线条
vap00144,reject,,局部五官被截断，脸部不完整
vap00141,reject,,仅截取下半脸，眼部等主要五官缺失
vap00135,reject,,头发遮挡且侧脸被裁切，面部不完整
vap00180,reject,,大面积头发遮挡，主要五官缺失
vap00193,reject,,错误框，画面杂线过多，未形成完整人脸
vap00210,reject,,脸部严重裁切且图像过浅，五官难以辨认
vap00230,reject,,脸部被背景或头发遮挡，完整面部不可辨认
vap00220,reject,,脸部侧缘被截断，面部不完整
ten00004,reject,,负样本中出现疑似动漫人物脸部及五官，存在标签冲突
ten00017,reject,,负样本包含可辨认的人脸，存在标签冲突
ten00129,reject,,负样本包含人物头部和面部区域，存在标签冲突
ten00085,reject,,负样本包含疑似局部人脸，不能作为纯非脸样本
ten00132,reject,,负样本包含疑似脸部轮廓及五官，存在标签冲突
ten00204,reject,,负样本包含可辨认的人脸，存在标签冲突
trn00029,reject,,负样本含清晰动漫五官，存在人脸标签冲突
trn00245,reject,,负样本含人物面部区域，存在人脸标签冲突
trn00259,reject,,负样本疑似包含小尺寸人物脸部，存在标签冲突
trn00284,reject,,负样本包含正面脸部及主要五官，存在标签冲突
trn00433,reject,,负样本含可辨认人物面部，存在标签冲突
trn00473,reject,,负样本包含疑似人物侧脸，存在标签冲突
trn00674,reject,,负样本含人物面部局部及五官，存在标签冲突
trn00734,reject,,负样本包含疑似人物头部及面部，存在标签冲突
trn00754,reject,,负样本中混入可辨认面部，存在标签冲突
trn00906,reject,,负样本疑似包含人物五官及侧脸，存在标签冲突
trn01071,reject,,负样本中出现人物侧脸区域，存在标签冲突
trn01125,reject,,负样本包含人物头部及疑似面部，存在标签冲突
trn01155,reject,,负样本含可辨认的动漫人脸，存在标签冲突
trn01221,reject,,负样本包含疑似局部人脸，存在标签冲突
trn01328,reject,,负样本含人物面部轮廓及五官，存在标签冲突
trn01367,reject,,负样本混入可辨认的人脸局部，存在标签冲突
trn01320,reject,,负样本包含疑似人物面部区域，存在标签冲突
trn01511,reject,,负样本混入人物面部及五官，存在标签冲突
trn01534,reject,,负样本包含正面人脸及清晰五官，存在标签冲突
trn01594,reject,,负样本疑似包含侧脸或人脸局部，存在标签冲突
trn01599,reject,,负样本含人物面部，存在标签冲突
trn01669,reject,,负样本包含疑似小尺寸人物人脸，存在标签冲突
trn01719,reject,,负样本包含人物面部及五官，存在标签冲突
van00000,reject,,负样本包含疑似人物头部及面部，存在标签冲突
van00111,reject,,负样本中出现疑似脸部轮廓，存在标签冲突
van00117,reject,,负样本疑似包含人物面部局部，存在标签冲突
van00231,reject,,负样本中混入疑似人脸区域，存在标签冲突
